System,Tree,Month,Diameter,r,Total Area,>40mm,20-40mm,0-20mm
2,LC5,Mar,21.8,9.4,277.5911269,91.60884178,80.42477193,105.5575132
2,LC5,Apr,22.35,9.675,294.0707438,101.1769549,83.88052385,109.0132651
2,LC5,May,22.65,9.825,303.2599023,106.5962022,85.76547944,110.8982207
2,LC5,Jun,22.8,9.9,307.907496,109.3588403,86.70795724,111.8406985
2,LC5,Jul,23.05,10.025,315.7320252,114.0417768,88.27875357,113.4114948
2,LC5,Aug,23.3,10.15,323.6547292,118.8228881,89.84954989,114.9822911
2,LC5,Sep,23.8,10.4,339.7946614,128.6796351,92.99114255,118.1238838
2,LC5,Oct,23.9,10.45,343.0697718,130.6981084,93.61946108,118.7522023
2,LC5,Nov,23.8,10.4,339.7946614,128.6796351,92.99114255,118.1238838
2,LC5,Dec,23.8,10.4,339.7946614,128.6796351,92.99114255,118.1238838
2,LC6,Jan,15.4,6.2,120.7628216,15.20530844,40.21238597,65.34512719
2,LC6,Feb,15.3,6.15,118.8228881,14.52201204,39.58406744,64.71680866
2,LC6,Mar,15.55,6.275,123.7021742,16.25970548,41.15486376,66.28760499
2,LC6,Apr,16,6.5,132.7322896,19.63495408,43.98229715,69.11503838
2,LC6,May,16.35,6.675,139.9756242,22.48005893,46.18141201,71.31415324
2,LC6,Jun,16.5,6.75,143.1388153,23.75829444,47.1238898,72.25663103
2,LC6,Jul,16.7,6.85,147.4113813,25.51758633,48.38052687,73.51326809
2,LC6,Aug,16.9,6.95,151.7467792,27.33971007,49.63716393,74.76990516
2,LC6,Sep,17.1,7.05,156.1450089,29.22466566,50.89380099,76.02654222
2,LC6,Oct,21.4,9.2,265.9044022,84.94866535,77.91149781,103.044239
2,LC6,Nov,17.2,7.1,158.3676857,30.1907054,51.52211952,76.65486075
2,LC6,Dec,17.1,7.05,156.1450089,29.22466566,50.89380099,76.02654222
2,LC7,Jan,24.2,10.6,352.9893506,136.847776,95.50441667,120.6371579
2,LC7,Feb,24,10.5,346.3605901,132.7322896,94.24777961,119.3805208
2,LC7,Mar,24.15,10.575,351.3262699,135.8130139,95.1902574,120.3229986
2,LC7,Apr,24.7,10.85,369.8361412,147.4113813,98.64600932,123.7787506
2,LC7,May,25.15,11.075,385.3340104,157.2543838,101.4734427,126.6061839
2,LC7,Jun,25.5,11.25,397.6078202,165.1299639,103.6725576,128.8052988
2,LC7,Jul,26.1,11.55,419.096314,179.0786352,107.4424688,132.57521
2,LC7,Aug,26.5,11.75,433.7361357,188.6919088,109.9557429,135.0884841
2,LC7,Sep,26.6,11.8,437.4353611,191.134497,110.5840614,135.7168026
2,LC7,Oct,24.4,10.7,359.6809429,141.0260942,96.76105373,121.893795
2,LC7,Nov,27.1,12.05,456.1671073,203.5830579,113.7256541,138.8583953
2,LC7,Dec,26.9,11.95,448.6272849,198.5565097,112.469017,137.6017582
2,LC8,Jan,16.4,6.7,141.0260942,22.90221044,46.49557127,71.6283125
2,LC8,Feb,16.3,6.65,138.9290811,22.06183441,45.86725274,70.99999397
2,LC8,Mar,16.4,6.7,141.0260942,22.90221044,46.49557127,71.6283125
2,LC8,Apr,16.85,6.925,150.6570392,26.87828865,49.32300466,74.45574589
2,LC8,May,17.15,7.075,157.2543838,29.70572204,51.20796025,76.34070148
2,LC8,Jun,17.4,7.2,162.8601632,32.16990877,52.77875658,77.91149781
2,LC8,Jul,17.65,7.325,168.5641173,34.73227028,54.34955291,79.48229414
2,LC8,Aug,17.8,7.4,172.0336137,36.31681108,55.2920307,80.42477193
2,LC8,Sep,17.8,7.4,172.0336137,36.31681108,55.2920307,80.42477193
2,LC8,Oct,20.7,8.85,246.0573906,73.89811319,73.51326809,98.64600932
2,LC8,Nov,18.1,7.55,179.0786352,39.59192142,57.1769863,82.30972752
2,LC8,Dec,18.1,7.55,179.0786352,39.59192142,57.1769863,82.30972752
2,LC9,Jan,21.2,9.1,260.1552876,81.71282492,76.65486075,101.787602
2,LC9,Feb,21.1,9.05,257.3042923,80.11846665,76.02654222,101.1592834
2,LC9,Mar,21.3,9.15,263.0219909,83.32289115,77.28317928,102.4159205
2,LC9,Apr,21.7,9.35,274.6458838,89.92023573,79.7964534,104.9291946
2,LC9,May,22.1,9.55,286.521104,96.76890771,82.30972752,107.4424688
2,LC9,Jun,22.35,9.675,294.0707438,101.1769549,83.88052385,109.0132651
2,LC9,Jul,22.55,9.775,300.1811415,104.7740785,85.13716091,110.2699021
2,LC9,Aug,22.7,9.85,304.8051732,107.5131546,86.07963871,111.2123799
2,LC9,Sep,22.8,9.9,307.907496,109.3588403,86.70795724,111.8406985
2,LC9,Oct,23.3,10.15,323.6547292,118.8228881,89.84954989,114.9822911
2,LC9,Nov,22.9,9.95,311.0255267,111.2202339,87.33627577,112.469017
2,LC9,Dec,22.9,9.95,311.0255267,111.2202339,87.33627577,112.469017
2,HO10,Jan,17.65,7.325,168.5641173,34.73227028,54.34955291,79.48229414
2,HO10,Feb,17.4,7.2,162.8601632,32.16990877,52.77875658,77.91149781
2,HO10,Mar,17.45,7.225,163.9931,32.67452709,53.09291585,78.22565707
2,HO10,Apr,17.95,7.475,175.538453,37.93669479,56.2345085,81.36724973
2,HO10,May,18.25,7.625,182.6541604,41.28249096,58.11946409,83.25220532
2,HO10,Jun,18.55,7.775,189.9112394,44.76965881,60.00441968,85.13716091
2,HO10,Jul,18.7,7.85,193.5927933,46.56625711,60.94689748,86.07963871
2,HO10,Aug,18.75,7.875,194.8278319,47.17297719,61.26105675,86.39379797
2,HO10,Sep,19.25,8.125,207.3942025,53.4561625,64.4026494,89.53539063
2,HO10,Oct,18.2,7.6,181.4583917,40.71504079,57.80530483,82.93804605
2,HO10,Nov,19.25,8.125,207.3942025,53.4561625,64.4026494,89.53539063
2,HO10,Dec,19.25,8.125,207.3942025,53.4561625,64.4026494,89.53539063
2,HO11,Jan,14.9,5.95,111.2202339,11.94590607,37.07079331,62.20353454
2,HO11,Feb,14.7,5.85,107.5131546,10.75210086,35.81415625,60.94689748
2,HO11,Mar,14.75,5.875,108.4340339,11.04466167,36.12831552,61.26105675
2,HO11,Apr,15.1,6.05,114.9901451,13.20254313,38.32743037,63.4601716
2,HO11,May,15.35,6.175,119.7908914,14.86169675,39.8982267,65.03096793
2,HO11,Jun,15.45,6.225,121.7386788,15.55284713,40.52654523,65.65928646
2,HO11,Jul,15.65,6.325,125.6813776,16.98227179,41.78318229,66.91592352
2,HO11,Aug,15.8,6.4,128.6796351,18.09557368,42.72566009,67.85840132
